Number of parameters:  (np.int64(5708), np.int64(5377))

LossPi:  -0.036114439368247986
LossV:  5491.9951171875
KL:  0.0006673510652035475
Entropy:  0.9189174771308899
DeltaLossPi:  -0.022023193538188934
DeltaLossV:  0.0

LossPi:  -0.034594908356666565
LossV:  4589.35400390625
KL:  0.00023911528114695102
Entropy:  0.918907880783081
DeltaLossPi:  -0.011984743177890778
DeltaLossV:  0.0

LossPi:  0.011988830752670765
LossV:  5299.25244140625
KL:  0.00043206330155953765
Entropy:  0.9189030528068542
DeltaLossPi:  -0.009889404522255063
DeltaLossV:  0.0

LossPi:  -0.02940388396382332
LossV:  5659.7392578125
KL:  0.00028206099523231387
Entropy:  0.9188989996910095
DeltaLossPi:  -0.009341582655906677
DeltaLossV:  0.0

LossPi:  -0.06516874581575394
LossV:  4288.740234375
KL:  0.0002519731060601771
Entropy:  0.9188971519470215
DeltaLossPi:  -0.0069530680775642395
DeltaLossV:  0.0

LossPi:  -0.024619095027446747
LossV:  5000.40185546875
KL:  0.0004084935935679823
Entropy:  0.9188950061798096
DeltaLossPi:  -0.005955321714282036
DeltaLossV:  0.0

LossPi:  -0.0544973760843277
LossV:  4654.82958984375
KL:  7.76705564931035e-05
Entropy:  0.9188938140869141
DeltaLossPi:  -0.005514159798622131
DeltaLossV:  0.0

LossPi:  -0.023984558880329132
LossV:  4331.1201171875
KL:  0.00011478867963887751
Entropy:  0.9188922643661499
DeltaLossPi:  -0.006139220669865608
DeltaLossV:  0.0

LossPi:  -0.016414612531661987
LossV:  4597.16796875
KL:  0.000375334668206051
Entropy:  0.9188912510871887
DeltaLossPi:  -0.006528258323669434
DeltaLossV:  0.0

LossPi:  0.00718380743637681
LossV:  3274.482421875
KL:  0.00012067610077792779
Entropy:  0.9188905954360962
DeltaLossPi:  -0.004684738116338849
DeltaLossV:  0.0

LossPi:  -0.037419188767671585
LossV:  4060.50390625
KL:  9.80674012680538e-05
Entropy:  0.9188905954360962
DeltaLossPi:  -0.00658721849322319
DeltaLossV:  0.0

LossPi:  -0.05018072575330734
LossV:  3970.0947265625
KL:  0.00035777458106167614
Entropy:  0.9188904762268066
DeltaLossPi:  -0.005086958408355713
DeltaLossV:  0.0

LossPi:  -0.036487579345703125
LossV:  3537.492919921875
KL:  0.0002643097541294992
Entropy:  0.918890118598938
DeltaLossPi:  -0.004949983209371567
DeltaLossV:  0.0

LossPi:  -0.004682784900069237
LossV:  3335.464599609375
KL:  0.00019604874250944704
Entropy:  0.9188898801803589
DeltaLossPi:  -0.0053489841520786285
DeltaLossV:  0.0

LossPi:  -0.06819728761911392
LossV:  2748.5771484375
KL:  0.00025277130771428347
Entropy:  0.918889582157135
DeltaLossPi:  -0.004256591200828552
DeltaLossV:  0.0

LossPi:  -0.06636855751276016
LossV:  2919.841064453125
KL:  7.424052455462515e-05
Entropy:  0.9188891649246216
DeltaLossPi:  -0.004921510815620422
DeltaLossV:  0.0

LossPi:  -0.05326774716377258
LossV:  2690.45751953125
KL:  0.00014240044401958585
Entropy:  0.918888509273529
